a,C_right,C_left,C_vertical_radial,field_right,field_left,field_vertical_radial,road_gain_right,road_gain_left
4.9366666666666665,5.939644971036685,2.778534920441693,1.9364916731037063,2.5,1.5,1.9364916731037085,3.439644971036685,1.2785349204416931
5.033333333333333,5.974520710828571,2.8105959028152157,1.9364916731037063,2.5,1.5,1.9364916731037085,3.474520710828571,1.3105959028152157
5.13,6.009111355256934,2.842476635083777,1.9364916731037063,2.5,1.5,1.9364916731037085,3.509111355256934,1.3424766350837771
5.226666666666667,6.043423849046505,2.874178312273223,1.9364916731037063,2.5,1.5,1.9364916731037085,3.543423849046505,1.374178312273223
5.323333333333333,6.077464857866076,2.9057022631324614,1.9364916731037063,2.5,1.5,1.9364916731037085,3.577464857866076,1.4057022631324614
5.42,6.111240783840017,2.937049929264198,1.9364916731037063,2.5,1.5,1.9364916731037085,3.6112407838400173,1.437049929264198
5.516666666666667,6.144757779965616,2.9682228469415364,1.9364916731037063,2.5,1.5,1.9364916731037085,3.644757779965616,1.4682228469415364
5.613333333333333,6.1780217635289745,2.9992226312531116,1.9364916731037063,2.5,1.5,1.9364916731037085,3.6780217635289745,1.4992226312531116
5.71,6.211038428603601,3.0300509622705434,1.9364916731037063,2.5,1.5,1.9364916731037085,3.711038428603601,1.5300509622705434
5.806666666666667,6.243813257707117,3.060709572975348,1.9364916731037063,2.5,1.5,1.9364916731037085,3.7438132577071173,1.5607095729753482
5.903333333333333,6.276351532684728,3.0912002387186064,1.9364916731037063,2.5,1.5,1.9364916731037085,3.7763515326847283,1.5912002387186064
6.0,6.30865834488138,3.121524768018382,1.9364916731037063,2.5,1.5,1.9364916731037085,3.8086583448813798,1.6215247680183822
