c,C_right,C_left,C_vertical_radial,field_right,field_left,field_vertical_radial,road_gain_right,road_gain_left
0.7500000000000002,4.938449124827159,1.4886175141208646,1.854049621773914,2.75,1.2499999999999998,1.8540496217739155,2.1884491248271587,0.23861751412086485
0.8,4.988449124827142,1.4386175141208675,1.8330302779823349,2.8,1.2,1.833030277982336,2.188449124827142,0.2386175141208675
0.8500000000000003,5.038449124827153,1.3886175141208632,1.8103866990231658,2.8500000000000005,1.1499999999999997,1.8103866990231672,2.1884491248271525,0.23861751412086352
0.9000000000000001,5.088449124827164,1.338617514120866,1.7860571099491729,2.9000000000000004,1.0999999999999999,1.786057109949175,2.188449124827164,0.23861751412086618
0.95,5.138449124827147,1.288617514120869,1.7599715906798075,2.95,1.05,1.7599715906798041,2.188449124827147,0.23861751412086885
1.0000000000000002,5.188449124827159,1.2386175141208646,1.7320508075688785,3.0,0.9999999999999998,1.7320508075688772,2.1884491248271587,0.23861751412086485
1.05,5.238449124827142,1.1886175141208675,1.7022044530549216,3.05,0.95,1.70220445305492,2.188449124827142,0.2386175141208675
1.1000000000000003,5.288449124827153,1.1386175141208632,1.6703293088490092,3.1000000000000005,0.8999999999999997,1.6703293088490063,2.1884491248271525,0.23861751412086352
1.1500000000000001,5.338449124827164,1.088617514120866,1.6363068171953579,3.1500000000000004,0.8499999999999999,1.6363068171953572,2.188449124827164,0.23861751412086618
1.2,5.388449124827147,1.038617514120869,1.5999999999999979,3.2,0.8,1.6,2.188449124827147,0.23861751412086885
1.2500000000000002,5.438449124827159,0.9886175141208646,1.561249499599601,3.25,0.7499999999999998,1.5612494995995994,2.1884491248271587,0.23861751412086485
1.3,5.488449124827142,0.9386175141208675,1.5198684153570632,3.3,0.7,1.5198684153570663,2.188449124827142,0.2386175141208675
1.3500000000000003,5.538449124827153,0.8886175141208632,1.4756354563373684,3.3500000000000005,0.6499999999999997,1.4756354563373704,2.1884491248271525,0.23861751412086352
1.4000000000000001,5.588449124827164,0.838617514120866,1.4282856857085697,3.4000000000000004,0.5999999999999999,1.42828568570857,2.188449124827164,0.23861751412086618
1.45,5.638449124827147,0.7886175141208689,1.3774977313955894,3.45,0.55,1.3774977313955912,2.188449124827147,0.23861751412086885
1.5000000000000002,5.688449124827159,0.7386175141208646,1.3228756555322967,3.5,0.4999999999999998,1.322875655532295,2.1884491248271587,0.23861751412086485
1.55,5.738449124827142,0.6886175141208675,1.263922465976453,3.55,0.44999999999999996,1.2639224659764536,2.188449124827142,0.2386175141208675
1.6000000000000003,5.788449124827153,0.6386175141208632,1.1999999999999993,3.6000000000000005,0.3999999999999997,1.1999999999999995,2.1884491248271525,0.23861751412086352
1.6500000000000001,5.838449124827164,0.588617514120866,1.1302654555457288,3.6500000000000004,0.34999999999999987,1.1302654555457312,2.188449124827164,0.23861751412086618
1.7,5.888449124827147,0.5386175141208689,1.054891373793982,3.7,0.30000000000000004,1.053565375285274,2.188449124827147,0.23861751412086885
1.7500000000000002,5.938449124827159,0.4886175141208646,0.9769284144197847,3.75,0.24999999999999978,0.9682458365518538,2.1884491248271587,0.23861751412086485
1.8,5.988449124827142,0.43861751412086747,0.8963549483013118,3.8,0.19999999999999996,0.8717797887081346,2.188449124827142,0.2386175141208675
